"Timeperiod_Desc","Marketing_Year","MY_Definition","Commodity","Attribute_Desc","Attribute_Desc2","Amount","Unit_Desc","Table_number","Table_name"
"Mar.–May","2007/08","September-August","Soybeans","Crush","Crush","456013.5","Thousand bushels","6","Table 6—Soybeans: U.S. supply and disappearance, by crop year quarter, 2000/01–2024/25"
"Mar.–May","2007/08","September-August","Soybeans","Exports","Exports","243753.14958","Thousand bushels","6","Table 6—Soybeans: U.S. supply and disappearance, by crop year quarter, 2000/01–2024/25"
"Mar.–May","2007/08","September-August","Soybeans","Seed, feed, and residual use","Seed, feed, and residual use","60309.52363","Thousand bushels","6","Table 6—Soybeans: U.S. supply and disappearance, by crop year quarter, 2000/01–2024/25"
"Mar.–May","2007/08","September-August","Soybeans","Total disappearance","Total disappearance","760076.17321","Thousand bushels","6","Table 6—Soybeans: U.S. supply and disappearance, by crop year quarter, 2000/01–2024/25"
"Mar.–May","2007/08","September-August","Soybeans","Ending stocks","Ending stocks","676143","Thousand bushels","6","Table 6—Soybeans: U.S. supply and disappearance, by crop year quarter, 2000/01–2024/25"
"June-Aug.","2007/08","September-August","Soybeans","Beginning stocks","Beginning stocks","676143","Thousand bushels","6","Table 6—Soybeans: U.S. supply and disappearance, by crop year quarter, 2000/01–2024/25"
"June-Aug.","2007/08","September-August","Soybeans","Production","Production",NA,"Thousand bushels","6","Table 6—Soybeans: U.S. supply and disappearance, by crop year quarter, 2000/01–2024/25"
"June-Aug.","2007/08","September-August","Soybeans","Imports","Imports","2338.10841","Thousand bushels","6","Table 6—Soybeans: U.S. supply and disappearance, by crop year quarter, 2000/01–2024/25"
"June-Aug.","2007/08","September-August","Soybeans","Total supply","Total supply","678481.10841","Thousand bushels","6","Table 6—Soybeans: U.S. supply and disappearance, by crop year quarter, 2000/01–2024/25"
"June-Aug.","2007/08","September-August","Soybeans","Crush","Crush","408991.8","Thousand bushels","6","Table 6—Soybeans: U.S. supply and disappearance, by crop year quarter, 2000/01–2024/25"
"June-Aug.","2007/08","September-August","Soybeans","Exports","Exports","155726.23075","Thousand bushels","6","Table 6—Soybeans: U.S. supply and disappearance, by crop year quarter, 2000/01–2024/25"
"June-Aug.","2007/08","September-August","Soybeans","Seed, feed, and residual use","Seed, feed, and residual use","-91270.92234","Thousand bushels","6","Table 6—Soybeans: U.S. supply and disappearance, by crop year quarter, 2000/01–2024/25"
"June-Aug.","2007/08","September-August","Soybeans","Total disappearance","Total disappearance","473447.10841","Thousand bushels","6","Table 6—Soybeans: U.S. supply and disappearance, by crop year quarter, 2000/01–2024/25"
"June-Aug.","2007/08","September-August","Soybeans","Ending stocks","Ending stocks","205034","Thousand bushels","6","Table 6—Soybeans: U.S. supply and disappearance, by crop year quarter, 2000/01–2024/25"
"MY Total","2007/08","September-August","Soybeans","Beginning stocks","Beginning stocks",NA,"Thousand bushels","6","Table 6—Soybeans: U.S. supply and disappearance, by crop year quarter, 2000/01–2024/25"
"MY Total","2007/08","September-August","Soybeans","Production","Production","2677117","Thousand bushels","6","Table 6—Soybeans: U.S. supply and disappearance, by crop year quarter, 2000/01–2024/25"
"MY Total","2007/08","September-August","Soybeans","Imports","Imports","9870.80291","Thousand bushels","6","Table 6—Soybeans: U.S. supply and disappearance, by crop year quarter, 2000/01–2024/25"
"MY Total","2007/08","September-August","Soybeans","Total supply","Total supply","3260797.80291","Thousand bushels","6","Table 6—Soybeans: U.S. supply and disappearance, by crop year quarter, 2000/01–2024/25"
"MY Total","2007/08","September-August","Soybeans","Crush","Crush","1803407.33767","Thousand bushels","6","Table 6—Soybeans: U.S. supply and disappearance, by crop year quarter, 2000/01–2024/25"
"MY Total","2007/08","September-August","Soybeans","Exports","Exports","1158829.05703","Thousand bushels","6","Table 6—Soybeans: U.S. supply and disappearance, by crop year quarter, 2000/01–2024/25"
"MY Total","2007/08","September-August","Soybeans","Seed, feed, and residual use","Seed, feed, and residual use","93527.40822","Thousand bushels","6","Table 6—Soybeans: U.S. supply and disappearance, by crop year quarter, 2000/01–2024/25"
"MY Total","2007/08","September-August","Soybeans","Total disappearance","Total disappearance","3055763.80291","Thousand bushels","6","Table 6—Soybeans: U.S. supply and disappearance, by crop year quarter, 2000/01–2024/25"
"MY Total","2007/08","September-August","Soybeans","Ending stocks","Ending stocks",NA,"Thousand bushels","6","Table 6—Soybeans: U.S. supply and disappearance, by crop year quarter, 2000/01–2024/25"
"Sep.–Nov.","2008/09","September-August","Soybeans","Beginning stocks","Beginning stocks","205034","Thousand bushels","6","Table 6—Soybeans: U.S. supply and disappearance, by crop year quarter, 2000/01–2024/25"
"Sep.–Nov.","2008/09","September-August","Soybeans","Production","Production","2967007","Thousand bushels","6","Table 6—Soybeans: U.S. supply and disappearance, by crop year quarter, 2000/01–2024/25"
"Sep.–Nov.","2008/09","September-August","Soybeans","Imports","Imports","2760.04355","Thousand bushels","6","Table 6—Soybeans: U.S. supply and disappearance, by crop year quarter, 2000/01–2024/25"
"Sep.–Nov.","2008/09","September-August","Soybeans","Total supply","Total supply","3174801.04355","Thousand bushels","6","Table 6—Soybeans: U.S. supply and disappearance, by crop year quarter, 2000/01–2024/25"
"Sep.–Nov.","2008/09","September-August","Soybeans","Crush","Crush","420422.06667","Thousand bushels","6","Table 6—Soybeans: U.S. supply and disappearance, by crop year quarter, 2000/01–2024/25"
"Sep.–Nov.","2008/09","September-August","Soybeans","Exports","Exports","386933.72163","Thousand bushels","6","Table 6—Soybeans: U.S. supply and disappearance, by crop year quarter, 2000/01–2024/25"
"Sep.–Nov.","2008/09","September-August","Soybeans","Seed, feed, and residual use","Seed, feed, and residual use","92013.25526","Thousand bushels","6","Table 6—Soybeans: U.S. supply and disappearance, by crop year quarter, 2000/01–2024/25"
"Sep.–Nov.","2008/09","September-August","Soybeans","Total disappearance","Total disappearance","899369.04355","Thousand bushels","6","Table 6—Soybeans: U.S. supply and disappearance, by crop year quarter, 2000/01–2024/25"
"Sep.–Nov.","2008/09","September-August","Soybeans","Ending stocks","Ending stocks","2275432","Thousand bushels","6","Table 6—Soybeans: U.S. supply and disappearance, by crop year quarter, 2000/01–2024/25"
"Dec.–Feb.","2008/09","September-August","Soybeans","Beginning stocks","Beginning stocks","2275432","Thousand bushels","6","Table 6—Soybeans: U.S. supply and disappearance, by crop year quarter, 2000/01–2024/25"
"Dec.–Feb.","2008/09","September-August","Soybeans","Production","Production",NA,"Thousand bushels","6","Table 6—Soybeans: U.S. supply and disappearance, by crop year quarter, 2000/01–2024/25"
"Dec.–Feb.","2008/09","September-August","Soybeans","Imports","Imports","4596.07535","Thousand bushels","6","Table 6—Soybeans: U.S. supply and disappearance, by crop year quarter, 2000/01–2024/25"
"Dec.–Feb.","2008/09","September-August","Soybeans","Total supply","Total supply","2280028.07535","Thousand bushels","6","Table 6—Soybeans: U.S. supply and disappearance, by crop year quarter, 2000/01–2024/25"
"Dec.–Feb.","2008/09","September-August","Soybeans","Crush","Crush","421926.73333","Thousand bushels","6","Table 6—Soybeans: U.S. supply and disappearance, by crop year quarter, 2000/01–2024/25"
"Dec.–Feb.","2008/09","September-August","Soybeans","Exports","Exports","482875.27019","Thousand bushels","6","Table 6—Soybeans: U.S. supply and disappearance, by crop year quarter, 2000/01–2024/25"
"Dec.–Feb.","2008/09","September-August","Soybeans","Seed, feed, and residual use","Seed, feed, and residual use","73437.07183","Thousand bushels","6","Table 6—Soybeans: U.S. supply and disappearance, by crop year quarter, 2000/01–2024/25"
"Dec.–Feb.","2008/09","September-August","Soybeans","Total disappearance","Total disappearance","978239.07535","Thousand bushels","6","Table 6—Soybeans: U.S. supply and disappearance, by crop year quarter, 2000/01–2024/25"
"Dec.–Feb.","2008/09","September-August","Soybeans","Ending stocks","Ending stocks","1301789","Thousand bushels","6","Table 6—Soybeans: U.S. supply and disappearance, by crop year quarter, 2000/01–2024/25"
"Mar.–May","2008/09","September-August","Soybeans","Beginning stocks","Beginning stocks","1301789","Thousand bushels","6","Table 6—Soybeans: U.S. supply and disappearance, by crop year quarter, 2000/01–2024/25"
"Mar.–May","2008/09","September-August","Soybeans","Production","Production",NA,"Thousand bushels","6","Table 6—Soybeans: U.S. supply and disappearance, by crop year quarter, 2000/01–2024/25"
"Mar.–May","2008/09","September-August","Soybeans","Imports","Imports","3771.8176","Thousand bushels","6","Table 6—Soybeans: U.S. supply and disappearance, by crop year quarter, 2000/01–2024/25"
"Mar.–May","2008/09","September-August","Soybeans","Total supply","Total supply","1305560.8176","Thousand bushels","6","Table 6—Soybeans: U.S. supply and disappearance, by crop year quarter, 2000/01–2024/25"
"Mar.–May","2008/09","September-August","Soybeans","Crush","Crush","430856.66667","Thousand bushels","6","Table 6—Soybeans: U.S. supply and disappearance, by crop year quarter, 2000/01–2024/25"
"Mar.–May","2008/09","September-August","Soybeans","Exports","Exports","243683.37329","Thousand bushels","6","Table 6—Soybeans: U.S. supply and disappearance, by crop year quarter, 2000/01–2024/25"
"Mar.–May","2008/09","September-August","Soybeans","Seed, feed, and residual use","Seed, feed, and residual use","34861.77764","Thousand bushels","6","Table 6—Soybeans: U.S. supply and disappearance, by crop year quarter, 2000/01–2024/25"
"Mar.–May","2008/09","September-August","Soybeans","Total disappearance","Total disappearance","709401.8176","Thousand bushels","6","Table 6—Soybeans: U.S. supply and disappearance, by crop year quarter, 2000/01–2024/25"
"Mar.–May","2008/09","September-August","Soybeans","Ending stocks","Ending stocks","596159","Thousand bushels","6","Table 6—Soybeans: U.S. supply and disappearance, by crop year quarter, 2000/01–2024/25"
"June-Aug.","2008/09","September-August","Soybeans","Beginning stocks","Beginning stocks","596159","Thousand bushels","6","Table 6—Soybeans: U.S. supply and disappearance, by crop year quarter, 2000/01–2024/25"
"June-Aug.","2008/09","September-August","Soybeans","Production","Production",NA,"Thousand bushels","6","Table 6—Soybeans: U.S. supply and disappearance, by crop year quarter, 2000/01–2024/25"
"June-Aug.","2008/09","September-August","Soybeans","Imports","Imports","2135.19313","Thousand bushels","6","Table 6—Soybeans: U.S. supply and disappearance, by crop year quarter, 2000/01–2024/25"
"June-Aug.","2008/09","September-August","Soybeans","Total supply","Total supply","598294.19313","Thousand bushels","6","Table 6—Soybeans: U.S. supply and disappearance, by crop year quarter, 2000/01–2024/25"
"June-Aug.","2008/09","September-August","Soybeans","Crush","Crush","388716.6","Thousand bushels","6","Table 6—Soybeans: U.S. supply and disappearance, by crop year quarter, 2000/01–2024/25"
"June-Aug.","2008/09","September-August","Soybeans","Exports","Exports","165801.20631","Thousand bushels","6","Table 6—Soybeans: U.S. supply and disappearance, by crop year quarter, 2000/01–2024/25"
"June-Aug.","2008/09","September-August","Soybeans","Seed, feed, and residual use","Seed, feed, and residual use","-94421.61319","Thousand bushels","6","Table 6—Soybeans: U.S. supply and disappearance, by crop year quarter, 2000/01–2024/25"
"June-Aug.","2008/09","September-August","Soybeans","Total disappearance","Total disappearance","460096.19313","Thousand bushels","6","Table 6—Soybeans: U.S. supply and disappearance, by crop year quarter, 2000/01–2024/25"
"June-Aug.","2008/09","September-August","Soybeans","Ending stocks","Ending stocks","138198","Thousand bushels","6","Table 6—Soybeans: U.S. supply and disappearance, by crop year quarter, 2000/01–2024/25"
"MY Total","2008/09","September-August","Soybeans","Beginning stocks","Beginning stocks",NA,"Thousand bushels","6","Table 6—Soybeans: U.S. supply and disappearance, by crop year quarter, 2000/01–2024/25"
"MY Total","2008/09","September-August","Soybeans","Production","Production","2967007","Thousand bushels","6","Table 6—Soybeans: U.S. supply and disappearance, by crop year quarter, 2000/01–2024/25"
"MY Total","2008/09","September-August","Soybeans","Imports","Imports","13263.12963","Thousand bushels","6","Table 6—Soybeans: U.S. supply and disappearance, by crop year quarter, 2000/01–2024/25"
"MY Total","2008/09","September-August","Soybeans","Total supply","Total supply","3185304.12963","Thousand bushels","6","Table 6—Soybeans: U.S. supply and disappearance, by crop year quarter, 2000/01–2024/25"
"MY Total","2008/09","September-August","Soybeans","Crush","Crush","1661922.06667","Thousand bushels","6","Table 6—Soybeans: U.S. supply and disappearance, by crop year quarter, 2000/01–2024/25"
"MY Total","2008/09","September-August","Soybeans","Exports","Exports","1279293.57143","Thousand bushels","6","Table 6—Soybeans: U.S. supply and disappearance, by crop year quarter, 2000/01–2024/25"
